PFT	PFT1	PFT2	PFT3	PFT4	PFT5	PFT6
PhenologyType	evergreen	evergreen	evergreen	raingreen	evergreen	evergreen
GDD5	NA	NA	NA	NA	NA	NA
SLA[m2/kg]	12.421	4.7766	8.082	14.704	5.6	2.612
LeafAreaToSapwoodArea[-]	8000	8000	8000	8000	8000	8000
LeafMassToRootMass[-]	1	1	1	1	1	1
Allom2HeightDiameter[-]	29.83	1.81	6.13	9.74	7.94	4
Allom3HeightDiameter[-]	1.13	-0.11	0.5	0.34	-0.07	0.29
Allom1SelfThinning[-]	22.65	29.16	21.05	21.21	32.15	35.61
ReinickeRP[-]	0.51	0.72	0.53	0.46	0.46	-0.12
MaxCrownArea[m2]	36	39	29	30	82	40
PhotosyntheticPathway[-]	C3	C3	C3	C3	C3	C3
CO2UptakeEfficiency[-]	0.08	0.08	0.08	0.08	0.08	0.08
TemperatureLimit1[degC]	-4	-4	-4	-4	-4	-4
TemperatureLimit2[degC]	20	20	20	20	20	20
TemperatureLimit3[degC]	30	30	30	30	30	30
TemperatureLimit4[degC]	42	42	42	42	42	42
optLambda[-]	0.8	0.8	0.8	0.8	0.8	0.8
gMin[mm/s]	0.5	0.3	0.3	0.5	0.3	0.3
wiltingPoint[cm]	23460	23460	23460	23460	23460	23460
maxWaterTransportCapacity[-]	5	5	5	5	5	5
LeafRespirationFraction[-]	0.015	0.015	0.015	0.015	0.015	0.015
RespirationCoefficient[-]	0.066	0.066	0.066	0.066	0.066	0.066
fractionalGrowthRespiration[-]	0.25	0.25	0.25	0.25	0.25	0.25
CarbonToNitrogenLeaves[-]	44	94.01	51.87	44.68	97.62	161.87
CarbonToNitrogenSapwood[-]	100.76	142.43	109.79	101.6	144.49	172.25
CarbonToNitrogenRoots[-]	75.94	101.61	81.5	76.46	102.88	119.98
minLeafCtoN[-]	40.08	67.67	48.48	40.2	77.68	139.65
maxLeafCtoN[-]	47.4	142.29	59.44	49.97	115.82	219.75
NStorageConst[-]	0.05	0.05	0.05	0.15	0.05	0.05
halfSaturationNConcentration[gN*m-3]	1.48	1.48	1.48	1.48	1.48	1.48
NUptakePerRootC[gN*kgC-1*day-1]	2.8	2.8	2.8	2.8	2.8	2.8
leafTurnoverTime[years]	NA	NA	NA	NA	NA	NA
rootTurnoverTime[years]	NA	NA	NA	NA	NA	NA
sapwoodTurnoverTime[years]	NA	NA	NA	NA	NA	NA
seedMass[mg]	34.35	20.11	13.42	37.77	25.24	40.6
meanDispersalDistance[m]	76.7	1.59	7.64	11.59	6.34	2.78
sdDispersalDistance[m]	2	2	2	2	2	2
germinationProb[-]	84	88.46	87.52	80.75	81.87	85.75
saplingLAI[-]	1.5	1.5	1.5	1.5	1.5	1.5
woodDensity[kgC*m-3]	624.2	597.8	606.7	637.4	623.3	668.3
mortThreshold[-]	0.9	0.9	0.9	0.9	0.9	0.9
relRootsL1[-]	0.69	0.87	0.65	0.77	0.64	0.45
relRootsL2[-]	0.31	0.13	0.35	0.23	0.36	0.55
