SoilName	Suction[mm]	SatHydraulicConductivity[mmh-1]	FieldCapacity[m3m-3]	EvaporationFactor[-]	ResidualWater[m3m-3]	InfiltrationRate[-]	MaxTotalInfiltration[mmh-1]	DiffusionConstant[-]	BulkDensity[gcm-3]	clayContent[m3m-3]	PoreSizeDistribution[-]	BubblingPressure[cm]	Porosity[m3m-3]
clay	316.3	1.8	0.422	1	0.09	0.1	1.5	0.01	1.375	0.6	0.165	37.3	0.475
clay-loam	208.8	4.2	0.371	1	0.075	0.1	1.5	0.01	1.425	0.35	0.2432	25.89	0.464
loam	88.9	3.9	0.303	1	0.027	0.1	1.5	0.01	1.425	0.2	0.252	11.15	0.463
loamy-sand	61.3	59.8	0.167	1	0.035	0.1	1.5	0.01	1.55	0.05	0.553	8.69	0.437
sand	49.5	181.9	0.112	1	0.02	0.1	1.5	0.01	1.575	0.05	0.694	7.26	0.437
sandy-clay	239	0.9	0.364	1	0.109	0.1	1.5	0.01	1.6	0.4	0.223	29.17	0.43
sandy-clay-loam	218.5	2.8	0.305	1	0.068	0.1	1.5	0.01	1.625	0.3	0.319	28.08	0.398
sandy-loam	110.1	55.8	0.27	1	0.041	0.1	1.5	0.01	1.45	0.1	0.378	14.66	0.453
silty-clay	292.2	1.8	0.422	1	0.056	0.1	1.5	0.01	1.425	0.45	0.15	34.19	0.479
silty-clay-loam	273	4.9	0.402	1	0.04	0.1	1.5	0.01	1.4	0.35	0.177	32.56	0.471
silt-loam	166.8	14.4	0.374	1	0.015	0.1	1.5	0.01	1.25	0.15	0.234	20.76	0.501
