"Date"	"Prec[mm]"	"MeanTemp[degC]"	"MinTemp[degC]"	"MaxTemp[degC]"	"AmbientCO2[ppmv]"	"Radiation[Wm-2]"
"2010-01-01"	0	19.1	13.5	25.3	400	285.4
"2010-01-02"	0	18.4	11.9	25.7	400	377.1
"2010-01-03"	0	18.6	10.6	26	400	393.9
"2010-01-04"	0	19.4	10.9	27.4	400	392.3
"2010-01-05"	0	20.3	11.9	28.2	400	389.7
"2010-01-06"	0	26.9	14.6	38.1	400	374.5
"2010-01-07"	0	27.4	18.4	34.2	400	387.2
"2010-01-08"	0	22.5	15.2	30.8	400	357.2
"2010-01-09"	0	24.3	15.3	32.9	400	387.6
"2010-01-10"	0	24.8	14.4	34.4	400	382.4
"2010-01-11"	0	28.7	17	38.4	400	382.8
"2010-01-12"	0	32.7	23.7	43	400	384.3
"2010-01-13"	0	24.2	17.7	32.6	400	359
"2010-01-14"	0	20.4	12.4	28.4	400	382.3
"2010-01-15"	0.02	20.6	13.6	28.6	400	374.3
"2010-01-16"	0	19.2	13.4	25.3	400	369
"2010-01-17"	0.06	21	11.2	29.6	400	379.7
"2010-01-18"	0	25.5	15.2	34.6	400	384.5
"2010-01-19"	0	26.2	16.8	35.2	400	381.2
"2010-01-20"	0.1	23.2	15.1	32.4	400	376.8
"2010-01-21"	0	24.2	15.3	33.6	400	372.5
"2010-01-22"	0	25.4	17.8	32.8	400	343.9
"2010-01-23"	0	24.1	18.7	30.6	400	327.5
"2010-01-24"	0.09	23	19.5	27.8	400	200.1
"2010-01-25"	0	26	20.7	32.8	400	233.5
"2010-01-26"	0	27.3	21	34.8	400	386.2
"2010-01-27"	0	22.5	16.7	28.8	400	365.5
"2010-01-28"	0	19.3	12.9	26.7	400	381.2
"2010-01-29"	0	22.4	12.3	31.8	400	376.8
"2010-01-30"	0	28.5	18.5	37.8	400	345.6
"2010-01-31"	0	27.7	21.3	35.7	400	273
"2010-02-01"	0	23.8	17.5	31.8	400	363.6
"2010-02-02"	0.03	20.3	14.1	26.9	400	358.9
"2010-02-03"	0	20.6	13.1	29	400	365.1
"2010-02-04"	0	25.6	17.2	34.8	400	362.5
"2010-02-05"	0	28.8	19.3	37.8	400	323.2
"2010-02-06"	0.01	23.2	17.5	30.9	400	339.6
